dataset,method,roc,iteration
1,scvi,0.4807431092206177,0
1,scvi,0.4611036188477818,1
1,scvi,0.480089600644494,2
1,scvi,0.4872419408941599,3
1,scvi,0.4965277218826254,4
1,scvi,0.5137000900845357,5
1,scvi,0.524611035191537,6
1,scvi,0.4946324614876312,7
2,scvi,0.508431382748754,0
2,scvi,0.5080378011897615,1
2,scvi,0.5032138179934024,2
2,scvi,0.5178025134945059,3
2,scvi,0.5134711736272066,4
2,scvi,0.49260640149344737,5
2,scvi,0.5081389757774288,6
2,scvi,0.4842989423804902,7
3,scvi,0.5025475004534569,0
3,scvi,0.5135386981097397,1
3,scvi,0.5012432414886063,2
3,scvi,0.501472869507688,3
3,scvi,0.49063055399673927,4
3,scvi,0.494749161578462,5
3,scvi,0.49527301182705574,6
3,scvi,0.5004380206916108,7
